Tag,Source Packages,Item,Category,Item Strain,Quantity,Batch Number,Lab Testing,<abbr title='Administrative Hold'>A.H.</abbr>,<abbr title='Packaged Date'>Date</abbr>,<abbr title='Received'>Rcv'd</abbr>
1A406030000200A000003427,1A40603000079E5000000014,Shake Trim - GG10,Leaf,GG10,3763.35,,NotSubmitted,FALSE,5/20/2020,8/4/2020
1A4060300004719000000447,1A4060300004719000000363,Bulk Oil CO2 1st Pass,Extract (weight),,1048.5,200123-FCLR,NotSubmitted,FALSE,5/18/2020,
1A4060300004719000000441,1A4060300004719000000082,Bulk Oil EHO 2nd Pass,Extract (weight),,25.3,190903-SCLR,NotSubmitted,FALSE,5/15/2020,
1A4060300004719000000444,1A4060300004719000000413,Bulk Cart Oil Jack Herer,Extract (weight),,93.27,200515-JACK,NotSubmitted,FALSE,5/15/2020,
1A4060300004719000000445,1A4060300004719000000413,Bulk Cart Oil Trainwreck,Extract (weight),,89.1,200515-TRAIN,NotSubmitted,FALSE,5/15/2020,
1A4060300004719000000437,1A4060300004719000000350,Bulk Oil CO2 1st Pass,Extract (weight),,994.4,200129-FCLR,NotSubmitted,FALSE,5/14/2020,
1A4060300004719000000439,1A4060300004719000000438,Bulk Oil CO2 Raw,Extract (weight),,788,RP00566,NotSubmitted,FALSE,5/14/2020,
1A4060300004719000000435,1A4060300004719000000376,Bulk Oil CO2 1st Pass,Extract (weight),,897.4,200205-FCLR,NotSubmitted,FALSE,5/12/2020,
1A4060300004719000000421,1A4060300004719000000400,Bulk Oil CO2 1st Pass,Extract (weight),,271.3,RP00482-FCLR,NotSubmitted,FALSE,5/5/2020,
1A4060300007D02000000095,1A4060300007D02000000093,CBN Distillate,Other Concentrate (weight),,346.9,042020-CBN,NotSubmitted,FALSE,4/24/2020,4/24/2020
1A4060300004719000000413,"1A4060300004719000000027, 1A4060300004719000000185, 1A4060300004719000000253",Bulk Oil CO2 2nd Pass,Extract (weight),,315.95,200423-SCLR-BLK,NotSubmitted,FALSE,4/23/2020,
